VO2,Sp,Sal,Fitted,Res,,Oxygen consumption (microlitres/(mg dry body weight)/min,,,,,,,Data from Box 11.2 in Sokal and Rohlf 1995 Biometry p332,,
11.11,Ascabra,50pct,12.17,-5.01,,,"in two species of limpet (A.scabra, A.digitalis), at three salinities (50%, 75%, 100%)",,,,,,,,
9.74,Ascabra,50pct,12.17,-5.39,,,,,,,,,,,
18.80,Ascabra,50pct,12.17,1.43,,,,,,,,,,,
9.74,Ascabra,50pct,12.17,-3.24,,,,,,,,,,,
10.50,Ascabra,50pct,12.17,-3.91,,,,,,,,,,,
14.60,Ascabra,50pct,12.17,1.83,,,,,,,,,,,
11.10,Ascabra,50pct,12.17,3.93,,,,,,,,,,,
11.80,Ascabra,50pct,12.17,-2.51,,,,,,,,,,,
5.20,Ascabra,75pct,7.89,-2.69,,,,,,,,,,,
5.20,Ascabra,75pct,7.89,-2.69,,,,,,,,,,,
7.18,Ascabra,75pct,7.89,-0.71,,,,,,,,,,,
6.37,Ascabra,75pct,7.89,-1.52,,,,,,,,,,,
13.20,Ascabra,75pct,7.89,5.31,,,,,,,,,,,
8.39,Ascabra,75pct,7.89,0.50,,,,,,,,,,,
10.40,Ascabra,75pct,7.89,2.51,,,,,,,,,,,
7.18,Ascabra,75pct,7.89,-0.71,,,,,,,,
7.16,Ascabra,100pct,10.56,-3.40,,,,,,,,
6.78,Ascabra,100pct,10.56,-3.78,,,,,,,,
13.60,Ascabra,100pct,10.56,3.04,,,,,,,,
8.93,Ascabra,100pct,10.56,-1.63,,,,,,,,
8.26,Ascabra,100pct,10.56,-2.30,,,,,,,,
14.00,Ascabra,100pct,10.56,3.44,,,,,,,,
16.10,Ascabra,100pct,10.56,5.54,,,,,,,,
9.66,Ascabra,100pct,10.56,-0.90,,,,,,,,
9.63,Adigitalis,50pct,12.33,-6.19,,,,,,,,
6.38,Adigitalis,50pct,12.33,-8.47,,,,,,,,
13.40,Adigitalis,50pct,12.33,-1.93,,,,,,,,
14.50,Adigitalis,50pct,12.33,-6.84,,,,,,,,
14.50,Adigitalis,50pct,12.33,-6.19,,,,,,,,
10.20,Adigitalis,50pct,12.33,-2.33,,,,,,,,
17.70,Adigitalis,50pct,12.33,-0.73,,,,,,,,
12.30,Adigitalis,50pct,12.33,-6.53
4.47,Adigitalis,75pct,7.34,-2.87
9.90,Adigitalis,75pct,7.34,2.56
5.75,Adigitalis,75pct,7.34,-1.59
11.80,Adigitalis,75pct,7.34,4.46
4.95,Adigitalis,75pct,7.34,-2.39
6.49,Adigitalis,75pct,7.34,-0.85
5.44,Adigitalis,75pct,7.34,-1.90
9.90,Adigitalis,75pct,7.34,2.56
6.14,Adigitalis,100pct,7.43,2.20
3.86,Adigitalis,100pct,7.43,-1.05
10.40,Adigitalis,100pct,7.43,5.97
5.49,Adigitalis,100pct,7.43,7.07
6.14,Adigitalis,100pct,7.43,7.07
10.00,Adigitalis,100pct,7.43,2.77
11.60,Adigitalis,100pct,7.43,10.27
5.80,Adigitalis,100pct,7.43,4.87
